Organization Name,Address,Full Address,Latitude,Longitude,City,State,Postcode,Main Phone #,Discipline,Council District,Community Board,Borough,Census Tract,BIN,BBL,NTA
"Talking Band, Inc.",P.O. Box 293,"P.O. Box 293, New York",41.1112069,-74.0684751,New York,NY,10012,(413) 299-9993,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,,,,
"Zeus's Thigh, Ltd.",P.O. Box 237166,"P.O. Box 237166, New York",40.7127753,-74.0059728,New York,NY,10023,(917) 880-5483,Theater,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,,,,
122 Community Center Inc.,150 First Avenue,"150 First Avenue, New York",40.7281395,-73.9844033,New York,NY,10009,(917) 864-5050,,Manhattan Council District #2,,Manhattan,34,1005894,1004370001,East Village
"13 Playwrights, Inc.","195 Willoughby Avenue, #402","195 Willoughby Avenue, #402, Brooklyn",40.6924643,-73.9642235,Brooklyn,NY,11205,(917) 886-6545,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,193,3054896,3019050080,Clinton Hill
"1687, Inc.",PO Box 1000,"PO Box 1000, New York",41.7539778,-74.5932304,New York,NY,10014,(212) 252-3499,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,,,,
18 Mai Committee,"832 Franklin Avenue, PMB337","832 Franklin Avenue, PMB337, Brooklyn",40.6695214,-73.9585349,Brooklyn,NY,11225,(718) 270-6935,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,213,3029691,3011870049,Crown Heights South
20/20 Vision for Schools,8225 5th Avenue #323,"8225 5th Avenue #323, Brooklyn",40.7473654,-73.984951,Brooklyn,NY,11209,(347) 921-4426,Visual Arts,Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn,142,3152153,3060090001,Bay Ridge
"3 Graces Theater Co., Inc.",P.O. Box 442,"P.O. Box 442, New York",40.7101771,-73.9485713,New York,NY,10163,(917) 385-0332,Theater,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,,,,
3 Legged Dog,80 Greenwich Street,"80 Greenwich Street, New York",40.7074312,-74.0147974,New York,NY,10006,(212) 645-0374,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,13,1078977,1000180100,Battery Park City-Lower Manhattan
42nd Street Development Corp.,330 West 42nd Street,"330 West 42nd Street, New York",40.7575736,-73.9916115,New York,NY,10036,(212) 695-4242,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,115,1024926,1010320048,Clinton
"42nd Street Workshop, Inc.","312 West 36th Street, 4th Floor","312 West 36th Street, 4th Floor, New York",40.753691,-73.993341,New York,NY,10018,(212) 695-4173,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,111,1080495,1007590049,Hudson Yards-Chelsea-Flatiron-Union Square
"4heads, Inc.",1022 Pacific St.,"1022 Pacific St., Brooklyn",40.6790524,-73.9593745,Brooklyn,NY,11238,(412) 956-3330,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #8,Manhattan,,,,
"52nd Street Project, Inc.",789 Tenth Avenue,"789 Tenth Avenue, New York",40.7956849,-73.9687762,New York,NY,10019,(212) 333-5252,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,135,1087777,1010817502,Clinton
"7 Loaves, Inc.","239 East 5th Street, #1D","239 East 5th Street, #1D, New York",40.7270133,-73.9892383,New York,NY,10003,(212) 777-3891,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,38,1006629,1004610035,East Village
"826NYC, Inc.",372 Fifth Avenue,"372 Fifth Avenue, Brooklyn",40.7492776,-73.9842289,Brooklyn,NY,11215,(718) 499-9884,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,137,3021351,3009870042,Park Slope-Gowanus
"A Better Jamaica, Inc.",114-73 178th Street,"114-73 178th Street, Jamaica",40.6931379,-73.7707082,Jamaica,NY,11434,(718) 657-2605,Film/Video/Audio,Queens Council District #27,Queens Community Board #12,Queens,424,4219917,4103120056,St. Albans
A Blade of Grass Fund,81 Prospect Street,"81 Prospect Street, Brooklyn",40.7008106,-73.9875003,Brooklyn,NY,11201,(646) 358-1164,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Brooklyn,21,3000163,3000640025,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
A Gathering of the Tribes,285 East 3rd Street,"285 East 3rd Street, New York",40.7215843,-73.9798727,New York,NY,10009,(212) 674-8262,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,2601,1004405,1003730063,Lower East Side
"A Public Space Literary Projects, Inc.",323 Dean Street,"323 Dean Street, Brooklyn",40.6840271,-73.9809403,Brooklyn,NY,11217,(718) 858-8067,Literature,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,39,3001212,3001927501,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
AAMC Foundation,174 East 80th Street,"174 East 80th Street, New York",40.7750748,-73.9575424,New York,NY,10075,(646) 405-8057,Visual Arts,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,140,1047499,1015080142,Upper East Side-Carnegie Hill
ABAKUA Afro-Latin Dance Company,"250 Ninth Street, 3rd Floor","250 Ninth Street, 3rd Floor, Brooklyn",40.670281,-73.989146,Brooklyn,NY,11215,(917) 570-6089,Dance,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,121,3022243,3010090034,Park Slope-Gowanus
ABC No Rio,"107 Suffolk Street, #305","107 Suffolk Street, #305, New York",40.7191552,-73.9862627,New York,NY,10002,(212) 254-3697,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,1402,1004301,1003530054,Lower East Side
"ACMP Associated Chamber Music Players, Inc.","1133 Broadway, Suite 810","1133 Broadway, Suite 810, New York",40.7437839,-73.9893618,New York,NY,10010,(212) 645-7424,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,58,1015625,1008270049,Hudson Yards-Chelsea-Flatiron-Union Square
ACTIONPLAY INCORPORATED,417 Myrtle Ave. #39,"417 Myrtle Ave. #39, Brooklyn",40.6932942,-73.9691137,Brooklyn,NY,11205,(844) 228-7529,Film/Video/Audio,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,187,3054291,3018870095,Fort Greene
"AFC New York, Inc.",20 Jay Street,"20 Jay Street, Brooklyn",40.7041895,-73.9867797,Brooklyn,NY,11201,(718) 753-3464,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #34,Brooklyn Community Board #3,Brooklyn,21,3000010,3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"AHL Foundation, Inc.","420 West 23rd Street, #7A","420 West 23rd Street, #7A, New York",40.7467155,-74.0024044,New York,NY,10011,(516) 983-3935,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,93,1012691,1007207501,Hudson Yards-Chelsea-Flatiron-Union Square
"AKTINA Productions, Inc.",23-50 27th Street,"23-50 27th Street, Astoria",40.775158,-73.9166709,Astoria,NY,11105,(718) 545-1151,Music,Queens Council District #22,Queens Community Board #1,Queens,97,4018140,4008540056,Steinway
ANDHOW! Theater Company Inc.,"138 South Oxford Street, Ste. 4C","138 South Oxford Street, Ste. 4C, Brooklyn",40.6851273,-73.9734987,Brooklyn,NY,11217,(718) 398-3690,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,179,3000000,3020040048,Fort Greene
"Aims of Modzawe, Inc.",187-40 Quencer Road,"187-40 Quencer Road, St. Albans",40.695814,-73.767538,St. Albans,NY,11412,(347) 231-2595,Dance,,Queens Community Board #12,Queens,398,4221355,4104010119,St. Albans
ANONYMOUS ENSEMBLE INC,104 Montgomery St.,"104 Montgomery St., Brooklyn",40.6664281,-73.9610684,Brooklyn,NY,11225,(917) 701-8388,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn,213,3029727,3011920030,Crown Heights South
"ARC on 4th Street, Inc.",59 East 4th Street,"59 East 4th Street, New York",40.7270219,-73.9908285,New York,NY,10003,(212) 477-5340,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,,Manhattan,38,1082642,1004600056,East Village
ARTs East New York Inc.,534 Livonia Ave.,"534 Livonia Ave., Brooklyn",40.6641995,-73.8975266,Brooklyn,NY,11207,(718) 676-6006 x101,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,1130,3418180,3038197501,East New York (Pennsylvania Ave)
"ASDT, Inc. - The American Spanish Dance Theatre",c/o Lotus Music and Dance,"c/o Lotus Music and Dance, New York",40.800428,-73.971064,New York,NY,10001,(212) 674-6725,Dance,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,,,,
Aaccapella Light Sound Organization Plus,851A Prospect Avenue,"851A Prospect Avenue, Bronx",40.820244,-73.902005,Bronx,NY,10459,(646) 453-3535,"Multi-Discipline, Non-Perform",,Brooklyn Community Board #2,Brooklyn,,,,
"Aaron Davis Hall, Inc.",150 Convent Avenue,"150 Convent Avenue, New York",40.8184199,-73.9515126,New York,NY,10031,(212) 281-9240,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #9,Manhattan,21303,1086181,1019710018,Manhattanville
Abingdon Theatre Company,"312 West 36th Street, 6th Floor","312 West 36th Street, 6th Floor, New York",40.753691,-73.993341,New York,NY,10018,(212) 868-2055 x224,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,111,1080495,1007590049,Hudson Yards-Chelsea-Flatiron-Union Square
Abraham Lincoln Brigade Archives,"799 Broadway, Ste. 341","799 Broadway, Ste. 341, New York",40.7323831,-73.9914888,New York,NY,10003,(212) 674-5398,Humanities,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,61,1009108,1005620024,West Village
"AbunDance Academy of the Arts, Inc.",430 Rogers Avenue,"430 Rogers Avenue, Brooklyn",40.6620112,-73.9540066,Brooklyn,NY,11225,(347) 788-1069,"Multi-Discipline, Performing",Brooklyn Council District #40,Brooklyn Community Board #9,Brooklyn,800,3035282,3013280044,Prospect Lefferts Gardens-Wingate
"Abundant Waters, Inc.",400 W.43rd St. #36G,"400 W.43rd St. #36G, New York",40.759033,-73.9930577,New York,NY,10036,(212) 564-2589,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,121,1083745,1010520001,Clinton
Academy of American Poets,75 Maiden Lane,"75 Maiden Lane, New York",40.7077951,-74.0074731,New York,NY,10038,(212) 274-0343 x19,Literature,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,1502,1001112,1000680011,Battery Park City-Lower Manhattan
"Academy of Bosnia and Herzegovina, Inc.",55-23 31st Avenue 6D,"55-23 31st Avenue 6D, Woodside",40.7579246,-73.9055319,Woodside,NY,11377,(214) 597-2789,Film/Video/Audio,Queens Council District #22,Queens Community Board #1,Manhattan,,,,
Access Theater,380 Broadway,"380 Broadway, New York",40.7179417,-74.0025904,New York,NY,10013,(212) 966-1047,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,31,1002317,1001950001,SoHo-TriBeCa-Civic Center-Little Italy
Actors Company Theatre,"900 Broadway, Ste. 905","900 Broadway, Ste. 905, New York",40.7388596,-73.9895743,New York,NY,10003,(212) 645-8228,Theater,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,52,1016184,1008480061,Hudson Yards-Chelsea-Flatiron-Union Square
"Actors Theatre Workshop, Inc.","145 W. 28th St., 3rd Floor","145 W. 28th St., 3rd Floor, New York",40.7471372,-73.9924195,New York,NY,10001,(212) 947-1386,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,95,1015100,1008040011,Midtown-Midtown South
Actors' Fund of America,"729 Seventh Avenue, 10th Floor","729 Seventh Avenue, 10th Floor, New York",40.7602421,-73.983606,New York,NY,10019,(212) 221-7300,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,125,1022699,1010017501,Midtown-Midtown South
African American Women In Cinema,2006 Westchester Avenue,"2006 Westchester Avenue, Parkchester",40.8333949,-73.8572761,Parkchester,NY,10462,(347) 310-3445,Other,Bronx Council District #15,Bronx Community Board #12,Bronx,92,2026267,2038050001,Westchester-Unionport
"African Cultural Center, Inc.",P.O. Box 3147,"P.O. Box 3147, New York",41.3119956,-73.8666948,New York,NY,10163,(646) 289-1877,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Manhattan Community Board #10,Manhattan,,,,
African Diaspora Film Festival,"535 Cathedral Parkway, Ste. 14B","535 Cathedral Parkway, Ste. 14B, New York",40.8039667,-73.9656279,New York,NY,10025,(212) 864-1760,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #9,Manhattan,199,1056904,1018820008,Morningside Heights
"African Film Festival, Inc.","154 West 18th Street, Ste. 2A","154 West 18th Street, Ste. 2A, New York",40.7404842,-73.9973577,New York,NY,10011,(212) 352-1720,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,81,1014671,1007930067,Hudson Yards-Chelsea-Flatiron-Union Square
"African Voices Communications, Inc.",270 West 96th Street,"270 West 96th Street, New York",40.7948369,-73.9728329,New York,NY,10025,(212) 865-2982,Literature,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,183,1033711,1012430060,Upper West Side
"Afrikan Poetry Theatre, Inc.",176-03 Jamaica Avenue,"176-03 Jamaica Avenue, Jamaica",40.708137,-73.7841202,Jamaica,NY,11432,(718) 523-3312,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens,468,4209975,4098120008,Jamaica
Afro Brazil Arts,"107 Suffolk Street, Studio 307","107 Suffolk Street, Studio 307, New York",40.7191552,-73.9862627,New York,NY,10002,(212) 677-2203,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,1402,1004301,1003530054,Lower East Side
"Afro-Asian, Inc.","107 Suffolk Street, Apt. 213-A","107 Suffolk Street, Apt. 213-A, New York",40.7191552,-73.9862627,New York,NY,10002,(212) 253-2280,Music,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,1402,1004301,1003530054,Lower East Side
Afro-Heritage Venture,"901 Drew Street, Suite 222","901 Drew Street, Suite 222, Brooklyn",40.667736,-73.8601133,Brooklyn,NY,11208,(718) 510-5575,Folk Arts,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,1220,3323063,3045167501,East New York
"After School Rocks, Inc.",187-08 Union Turnpike,"187-08 Union Turnpike, Fresh Meadows",40.7287767,-73.7816587,Fresh Meadows,NY,11366,(718) 454-0100,Music,Queens Council District #26,Queens Community Board #9,Queens,1277,4156126,4072560114,Jamaica Estates-Holliswood
"Agudath Israel of America Community Services, Inc.","42 Broadway, 14th Floor","42 Broadway, 14th Floor, New York",40.705974,-74.0126146,New York,NY,10004,(212) 797-9000 x260,Humanities,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,9,1000812,1000220020,Battery Park City-Lower Manhattan
"Aks Chorale, Inc.",429 East 52nd Street,"429 East 52nd Street, New York",40.7547951,-73.9640963,New York,NY,10022,(212) 755-4061,Music,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,8603,1040156,1013640034,Turtle Bay-East Midtown
"Alarm Will Sound, Inc.",51 Wooster Street,"51 Wooster Street, New York",40.7228133,-74.0024577,New York,NY,10013,(773) 234-2846,Music,Manhattan Council District #1,Manhattan Community Board #2,Brooklyn,,,,
