the_geom,postcode,organization_name,address,full_address,latitude,longitude,city,state,cartodb_id,main_phone__,discipline,council_district,community_board,borough,census_tract,bin,bbl,nta
0101000020E6100000CCB2CCC75A7B52C0DFFEB7EDD6684440,10451,"Arete Education, Inc.",557 Grand Concourse,"557 Grand Concourse, Bronx",40.8190591,-73.9274158,Bronx,NY,142,(646) 504-2015,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #8,Bronx Community Board #1,Bronx,63,2001057,2023470024,West Concourse
0101000020E6100000982ABDDB618052C0C37295383C5B4440,10101,"Brick Theater, Inc.",P.O. Box 1851,"P.O. Box 1851, New York",40.7127753,-74.0059728,New York,NY,310,(917) 640-2119,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,,,,
0101000020E610000014AD8152597752C05A6034D0216C4440,10451-9998,Bronx Children's Museum,PO Box 1381,"PO Box 1381, Bronx",40.8447819,-73.8648268,Bronx,NY,321,(347) 971-2155,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #8,Bronx Community Board #4,Bronx,,,,
0101000020E6100000A4B041156D7C52C0436DC08CCE564440,11202,Brooklyn Steppers,PO Box 24415,"PO Box 24415, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,367,(718) 467-1700 x1702,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,,,,
0101000020E6100000DD6E939BF28D52C0C37E4FAC53A64540,10163,"Citywide Youth Opera, Inc.",P. O. Box 3647,"P. O. Box 3647, New York",43.2994285,-74.2179326,New York,NY,490,(646) 296-0344,Music,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,,,,
0101000020E6100000A4B041156D7C52C0436DC08CCE564440,11210,"College Community Services, Inc.",P.O. Box 100163,"P.O. Box 100163, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,513,(718) 951-4600 x20,"Multi-Discipline, Performing",Brooklyn Council District #45,Brooklyn Community Board #14,Brooklyn,,,,
0101000020E6100000A4B041156D7C52C0436DC08CCE564440,11231,Falconworks Artists Group,P.O. Box 310283,"P.O. Box 310283, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,740,(718) 395-3218,Theater,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,,,,
0101000020E6100000982ABDDB618052C0C37295383C5B4440,10023,"Inta, Inc.",PO Box 230770,"PO Box 230770, New York",40.7127753,-74.0059728,New York,NY,989,(212) 278-8111 x300,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,,,,
0101000020E610000004F8B880E17952C0134B25975A6C4440,10457,"Loisaida, Inc.",300 E 175th Street,"300 E 175th Street, Bronx",40.8465146,-73.9043886,Bronx,NY,1168,(646) 757-0522,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,,,,
0101000020E610000004577902616D52C0E57A809312604440,11040,Navatman,76-18 266th street,"76-18 266th street, New Hyde Park",40.7505669,-73.709046,New Hyde Park,NY,1351,(732) 580-2093,Folk Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,,,,
